1,emp_no,first_name,last_name,birth_date,from_date,to_date,title
2,10095,Hilari,Morton,1/3/1965,3/10/1994,1/1/1999,Senior Staff
3,10122,Ohad,Esposito,1/19/1965,8/6/1998,1/1/1999,Technique Leader
4,10291,Dipayan,Seghrouchni,1/23/1965,3/30/1987,1/1/1999,Staff
5,10476,Kokou,Iisaka,1/1/1965,9/20/1987,1/1/1999,Staff
6,10663,Teunis,Noriega,1/9/1965,2/12/1999,1/1/1999,Technique Leader
7,10762,Lech,Himler,1/19/1965,1/21/1992,1/1/1999,Staff
8,10933,Juyoung,Seghrouchni,1/24/1965,8/2/1993,1/1/1999,Senior Engineer
9,12155,Keiichiro,Glinert,1/21/1965,9/16/1993,1/1/1999,Engineer
10,12408,Rasiah,Sudkamp,1/10/1965,4/18/1995,1/1/1999,Senior Engineer
11,12643,Morrie,Schurmann,1/30/1965,12/31/1998,1/1/1999,Staff
12,13499,Kazuhiko,Sidou,1/16/1965,9/1/1991,1/1/1999,Technique Leader
13,14075,Denny,Tchuente,1/3/1965,5/30/1991,1/1/1999,Assistant Engineer
14,14104,Sudhanshu,Demian,1/3/1965,7/23/1994,1/1/1999,Senior Staff
15,14127,Magdalena,Cannard,1/10/1965,4/22/1994,1/1/1999,Engineer
16,14158,Caolyn,Setiz,1/22/1965,2/6/1990,1/1/1999,Senior Staff
17,14476,Sastry,Marrevee,1/19/1965,9/25/1999,1/1/1999,Engineer
18,14907,Nakhoon,Luga,1/14/1965,12/18/1986,1/1/1999,Staff
19,15050,Nikolaos,Kruskal,1/18/1965,12/17/1990,1/1/1999,Engineer
20,15058,Bouchung,Bugrara,1/30/1965,6/18/1990,1/1/1999,Senior Staff
21,15413,Arvin,Rabejac,1/17/1965,1/1/1994,1/1/1999,Engineer
22,16461,Remmert,Schahn,1/14/1965,9/6/1986,1/1/1999,Senior Staff
23,16528,Gaurav,Swick,1/21/1965,5/7/1996,1/1/1999,Assistant Engineer
24,17013,Morris,Garigliano,1/15/1965,5/24/1995,1/1/1999,Senior Staff
25,17206,Berry,DeMori,1/2/1965,12/27/1992,1/1/1999,Engineer
26,17369,Yaghout,Kenevan,1/31/1965,9/15/2000,1/1/1999,Engineer
27,17447,Zengping,Boreale,1/11/1965,12/16/1998,1/1/1999,Staff
28,17731,Gennady,Roison,1/16/1965,12/6/1989,1/1/1999,Assistant Engineer
29,17970,Filipp,Carrere,1/6/1965,1/9/1989,1/1/1999,Technique Leader
30,17988,Mabhin,Calkin,1/31/1965,11/30/1989,1/1/1999,Senior Engineer
31,18021,Adil,Matzke,1/7/1965,5/8/1987,1/1/1999,Engineer
32,18424,Filipp,Rousseau,1/19/1965,6/7/1995,1/1/1999,Engineer
33,18583,Stafford,Honglei,1/3/1965,8/16/1998,1/1/1999,Staff
34,18617,Surveyors,Crouzet,1/21/1965,4/24/1989,1/1/1999,Staff
35,18810,Taiji,Jarecki,1/9/1965,6/27/1991,1/1/1999,Senior Engineer
36,19236,Elzbieta,Morris,1/24/1965,7/12/1988,1/1/1999,Senior Engineer
37,19350,Satoru,Yoshizawa,1/19/1965,3/27/1994,1/1/1999,Senior Staff
38,19803,Ziva,Kowalchuk,1/30/1965,6/13/1987,1/1/1999,Engineer
39,20100,Utz,Heuter,1/18/1965,6/15/1986,1/1/1999,Staff
40,20128,Kazunori,Peak,1/23/1965,8/13/1999,1/1/1999,Senior Staff
41,20129,Rafael,Skafidas,1/10/1965,3/28/1991,1/1/1999,Engineer
42,20248,Vidar,Demri,1/12/1965,12/31/1999,1/1/1999,Staff
43,20313,Candida,Benveniste,1/24/1965,1/20/1999,1/1/1999,Engineer
44,20500,Christoph,Trystram,1/30/1965,10/15/1993,1/1/1999,Senior Staff
45,20885,Otmar,Rothenberg,1/21/1965,3/14/1989,1/1/1999,Engineer
46,21181,Jianhui,Cangellaris,1/21/1965,10/6/1991,1/1/1999,Engineer
47,21188,Piyush,Danecki,1/21/1965,1/8/2000,1/1/1999,Engineer
48,21546,Yongmin,Lanteri,1/1/1965,3/19/2002,1/1/1999,Senior Staff
49,21843,Karsten,Azadmanesh,1/9/1965,11/29/1985,1/1/1999,Senior Engineer
50,21909,Mohammed,Brizzi,1/4/1965,12/28/1991,1/1/1999,Senior Staff
51,22185,Huai,Birch,1/29/1965,6/12/2002,1/1/1999,Assistant Engineer
52,22415,Perla,Jumpertz,1/20/1965,8/24/1994,1/1/1999,Senior Staff
53,22451,Jasminko,Bresenham,1/27/1965,1/19/1994,1/1/1999,Staff
54,22455,Barry,Unno,1/6/1965,11/16/1990,1/1/1999,Senior Staff
55,22926,Manibrata,Genther,1/1/1965,1/15/1988,1/1/1999,Engineer
56,23396,Hilari,Fairtlough,1/2/1965,12/15/1986,1/1/1999,Technique Leader
57,24080,Jaana,Perez,1/26/1965,3/11/1996,1/1/1999,Technique Leader
58,24205,Roddy,Rubsam,1/25/1965,9/19/1993,1/1/1999,Senior Engineer
59,24377,Lubomir,Wroclawski,1/25/1965,7/25/1993,1/1/1999,Engineer
60,24394,Zhonghui,Conta,1/4/1965,9/10/1994,1/1/1999,Staff
61,24553,Anwar,Passafiume,1/12/1965,1/30/1987,1/1/1999,Senior Staff
62,24571,Cordelia,Gischer,1/20/1965,3/14/1989,1/1/1999,Engineer
63,25488,Ingmar,Basawa,1/19/1965,11/9/1991,1/1/1999,Staff
64,26629,Nevin,Rodham,1/28/1965,12/14/1998,1/1/1999,Senior Staff
65,26671,Jiakeng,Kalorkoti,1/21/1965,12/25/1994,1/1/1999,Engineer
66,26788,Zongyan,Dalphin,1/25/1965,4/23/1988,1/1/1999,Engineer
67,27331,Wanqing,Krohm,1/19/1965,1/22/1991,1/1/1999,Senior Staff
68,27378,Piyawadee,Leppanen,1/28/1965,2/25/1999,1/1/1999,Senior Staff
69,27620,Shuji,Kandlur,1/25/1965,3/2/1990,1/1/1999,Senior Engineer
70,27686,Manu,Rosiles,1/28/1965,3/3/1998,1/1/1999,Senior Staff
71,27699,Falguni,Pezzoli,1/15/1965,12/23/1996,1/1/1999,Engineer
72,27767,Tooru,Veldwijk,1/27/1965,11/21/1993,1/1/1999,Staff
73,28193,Xinglin,Mitsuhashi,1/29/1965,12/14/1988,1/1/1999,Engineer
74,28974,Chenxi,Sundgren,1/9/1965,9/2/1986,1/1/1999,Senior Engineer
75,28988,Tua,Giveon,1/18/1965,9/9/1998,1/1/1999,Technique Leader
76,29130,Xumin,Thorensen,1/6/1965,4/26/1998,1/1/1999,Staff
77,29265,Gilbert,Calkin,1/14/1965,3/21/1988,1/1/1999,Senior Staff
78,29380,Satoru,Vidal,1/30/1965,5/2/1998,1/1/1999,Assistant Engineer
79,29418,Valery,Mersereau,1/22/1965,7/1/1998,1/1/1999,Assistant Engineer
80,29679,Kolar,Steenbeek,1/17/1965,10/18/1986,1/1/1999,Senior Engineer
81,29782,Jouko,Hellwagner,1/29/1965,10/23/2000,1/1/1999,Senior Engineer
82,29954,Pranay,Giarratana,1/27/1965,9/29/1992,1/1/1999,Senior Engineer
83,30007,Kousuke,Vecchio,1/24/1965,2/23/1990,1/1/1999,Engineer
84,30035,Tetsushi,Conta,1/8/1965,7/4/1995,1/1/1999,Senior Staff
85,30154,Mayuko,Skafidas,1/26/1965,4/19/1999,1/1/1999,Technique Leader
86,30182,Leon,Potthoff,1/26/1965,12/8/1985,1/1/1999,Senior Engineer
87,30465,Randi,Avouris,1/28/1965,7/16/1986,1/1/1999,Engineer
88,30484,Sailaja,Chvatal,1/11/1965,5/18/1999,1/1/1999,Staff
89,30695,Gudjon,Majewski,1/8/1965,10/26/1999,1/1/1999,Senior Engineer
90,30938,Yakkov,Samarati,1/6/1965,10/10/1997,1/1/1999,Senior Staff
91,31147,Divine,Sidhu,1/4/1965,7/5/1989,1/1/1999,Senior Staff
92,31188,Leandro,Gist,1/12/1965,2/3/1993,1/1/1999,Technique Leader
93,31207,Abdelwaheb,Dulin,1/30/1965,8/5/1993,1/1/1999,Senior Engineer
94,31341,Oksana,Zultner,1/1/1965,3/23/1991,1/1/1999,Senior Staff
95,31514,Harngdar,Schapire,1/13/1965,11/9/1996,1/1/1999,Engineer
96,31568,Mark,Lalonde,1/10/1965,11/24/1996,1/1/1999,Staff
97,31909,Murthy,Peek,1/10/1965,10/30/2000,1/1/1999,Engineer
98,32347,Terresa,Peres,1/8/1965,9/15/1990,1/1/1999,Senior Staff
99,32552,Atreye,Stanger,1/17/1965,9/10/1993,1/1/1999,Engineer
100,32649,Ingmar,Nannarelli,1/12/1965,6/10/1988,1/1/1999,Senior Staff
101,32714,Radoslaw,Maliniak,1/16/1965,9/18/2001,1/1/1999,Staff
102,32844,Tadahiko,Melton,1/23/1965,1/7/1995,1/1/1999,Engineer
103,33025,Jessie,Thorelli,1/12/1965,12/16/1999,1/1/1999,Senior Staff
104,33215,Steen,Fasbender,1/29/1965,2/14/1993,1/1/1999,Technique Leader
105,33722,Anwar,Collette,1/15/1965,2/3/2001,1/1/1999,Senior Engineer
106,34077,Angel,Sichman,1/8/1965,11/16/1988,1/1/1999,Senior Staff
